,feature,importance_gain,importance_split,trn_score,run
58,YEARS_BEGINEXPLUATATION_MODE,2442.622846662998,232,0.6872066003807996,5
59,YEARS_BUILD_MODE,1993.8754054903984,183,0.6872066003807996,5
60,COMMONAREA_MODE,3206.7490590810776,297,0.6872066003807996,5
61,ELEVATORS_MODE,658.8061354160309,65,0.6872066003807996,5
62,ENTRANCES_MODE,1029.4770520925522,106,0.6872066003807996,5
63,FLOORSMAX_MODE,714.7288526296616,75,0.6872066003807996,5
64,FLOORSMIN_MODE,859.8035984039307,78,0.6872066003807996,5
65,LANDAREA_MODE,3430.4326093792915,328,0.6872066003807996,5
66,LIVINGAPARTMENTS_MODE,2656.664404153824,239,0.6872066003807996,5
67,LIVINGAREA_MODE,2769.549848675728,256,0.6872066003807996,5
68,NONLIVINGAPARTMENTS_MODE,768.7382909059525,83,0.6872066003807996,5
69,NONLIVINGAREA_MODE,2997.98900526762,284,0.6872066003807996,5
70,APARTMENTS_MEDI,1385.849719285965,124,0.6872066003807996,5
71,BASEMENTAREA_MEDI,2230.472257077694,202,0.6872066003807996,5
72,YEARS_BEGINEXPLUATATION_MEDI,1566.406037569046,152,0.6872066003807996,5
73,YEARS_BUILD_MEDI,1045.8963038921356,105,0.6872066003807996,5
74,COMMONAREA_MEDI,1779.7425910234451,172,0.6872066003807996,5
75,ELEVATORS_MEDI,588.4521425962448,58,0.6872066003807996,5
76,ENTRANCES_MEDI,786.0040792226791,73,0.6872066003807996,5
77,FLOORSMAX_MEDI,509.93371415138245,53,0.6872066003807996,5
78,FLOORSMIN_MEDI,543.6004710197449,48,0.6872066003807996,5
79,LANDAREA_MEDI,2032.7175562381744,184,0.6872066003807996,5
80,LIVINGAPARTMENTS_MEDI,1704.7191350460052,156,0.6872066003807996,5
81,LIVINGAREA_MEDI,1901.8204864263535,182,0.6872066003807996,5
82,NONLIVINGAPARTMENTS_MEDI,924.1701481342316,85,0.6872066003807996,5
83,NONLIVINGAREA_MEDI,2394.472145318985,221,0.6872066003807996,5
84,FONDKAPREMONT_MODE,112.49186944961548,12,0.6872066003807996,5
85,HOUSETYPE_MODE,211.53381037712097,20,0.6872066003807996,5
86,TOTALAREA_MODE,3468.592437326908,306,0.6872066003807996,5
87,WALLSMATERIAL_MODE,412.7928590774536,45,0.6872066003807996,5
88,EMERGENCYSTATE_MODE,88.88635015487671,10,0.6872066003807996,5
89,OBS_30_CNT_SOCIAL_CIRCLE,1731.899793446064,178,0.6872066003807996,5
90,DEF_30_CNT_SOCIAL_CIRCLE,890.6134287118912,86,0.6872066003807996,5
91,OBS_60_CNT_SOCIAL_CIRCLE,1426.6798577606678,158,0.6872066003807996,5
92,DEF_60_CNT_SOCIAL_CIRCLE,602.1453199386597,67,0.6872066003807996,5
93,DAYS_LAST_PHONE_CHANGE,5895.657036781311,585,0.6872066003807996,5
94,FLAG_DOCUMENT_2,0.0,0,0.6872066003807996,5
95,FLAG_DOCUMENT_3,486.7308781147003,50,0.6872066003807996,5
96,FLAG_DOCUMENT_4,0.0,0,0.6872066003807996,5
97,FLAG_DOCUMENT_5,96.57434892654419,12,0.6872066003807996,5
98,FLAG_DOCUMENT_6,108.59638977050781,12,0.6872066003807996,5
99,FLAG_DOCUMENT_7,0.0,0,0.6872066003807996,5
100,FLAG_DOCUMENT_8,391.6975688934326,40,0.6872066003807996,5
